extracted_path,loc_x,loc_y,displacement_mm,force_n,session
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00000.jpg",-140,-10,0.0,0.0,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00001.jpg",-140,-10,0.0212,0.0,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00002.jpg",-140,-10,0.0437,0.0,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00003.jpg",-140,-10,0.065,0.001,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00004.jpg",-140,-10,0.0873,0.0,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00005.jpg",-140,-10,0.109,0.001,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00006.jpg",-140,-10,0.1317,0.001,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00007.jpg",-140,-10,0.1587,0.001,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00008.jpg",-140,-10,0.1805,0.001,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00009.jpg",-140,-10,0.2025,0.002,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00010.jpg",-140,-10,0.2248,0.002,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00011.jpg",-140,-10,0.2463,0.002,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00012.jpg",-140,-10,0.2688,0.003,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00013.jpg",-140,-10,0.2907,0.003,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00014.jpg",-140,-10,0.3128,0.004,"(-140, -10)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00015.jpg",-140,-10,0.335,0.003,"(-140, -10)"
