time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00000.jpg"
0.132,0.022,1,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00001.jpg"
0.298,0.0497,2,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00002.jpg"
0.431,0.0718,3,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00003.jpg"
0.562,0.0937,4,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00004.jpg"
0.692,0.1153,5,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00005.jpg"
0.825,0.1375,6,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00006.jpg"
0.959,0.1598,7,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00007.jpg"
1.089,0.1815,8,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00008.jpg"
1.221,0.2035,9,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00009.jpg"
1.354,0.2257,10,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00010.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00010.jpg"
1.483,0.2472,11,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00011.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00011.jpg"
1.616,0.2693,12,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00012.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00012.jpg"
1.747,0.2912,13,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00013.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00013.jpg"
1.881,0.3135,14,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00014.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00014.jpg"
2.011,0.3352,15,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00015.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00015.jpg"
2.145,0.3575,16,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00016.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00016.jpg"
2.277,0.3795,17,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00017.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00017.jpg"
2.409,0.4015,18,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00018.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00018.jpg"
2.541,0.4235,19,0.008,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00019.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00019.jpg"
2.671,0.4452,20,0.008,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00020.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00020.jpg"
2.805,0.4675,21,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00021.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00021.jpg"
2.938,0.4897,22,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00022.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00022.jpg"
3.068,0.5113,23,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00023.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00023.jpg"
3.202,0.5337,24,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00024.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00024.jpg"
3.333,0.5555,25,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00025.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00025.jpg"
3.466,0.5777,26,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/frame_00026.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -4)/frames/extracted/frame_00026.jpg"
