time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00000.jpg"
0.128,0.0213,1,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00001.jpg"
0.267,0.0445,2,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00002.jpg"
0.394,0.0657,3,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00003.jpg"
0.53,0.0883,4,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00004.jpg"
0.659,0.1098,5,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00005.jpg"
0.794,0.1323,6,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00006.jpg"
0.923,0.1538,7,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00007.jpg"
1.057,0.1762,8,0.008,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00008.jpg"
1.185,0.1975,9,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00009.jpg"
1.322,0.2203,10,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00010.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00010.jpg"
1.451,0.2418,11,0.014,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00011.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00011.jpg"
1.587,0.2645,12,0.014,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00012.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00012.jpg"
1.713,0.2855,13,0.017,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00013.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00013.jpg"
1.85,0.3083,14,0.016,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00014.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00014.jpg"
1.98,0.33,15,0.018,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00015.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00015.jpg"
2.112,0.352,16,0.019,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00016.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00016.jpg"
2.242,0.3737,17,0.021,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00017.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00017.jpg"
2.378,0.3963,18,0.023,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00018.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00018.jpg"
2.507,0.4178,19,0.025,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00019.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00019.jpg"
2.642,0.4403,20,0.026,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00020.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00020.jpg"
2.804,0.4673,21,0.028,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00021.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00021.jpg"
2.938,0.4897,22,0.03,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00022.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00022.jpg"
3.069,0.5115,23,0.031,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00023.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00023.jpg"
3.203,0.5338,24,0.032,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00024.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00024.jpg"
3.332,0.5553,25,0.035,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00025.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00025.jpg"
3.466,0.5777,26,0.037,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00026.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00026.jpg"
3.595,0.5992,27,0.039,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00027.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00027.jpg"
3.728,0.6213,28,0.039,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00028.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00028.jpg"
3.86,0.6433,29,0.041,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00029.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00029.jpg"
3.994,0.6657,30,0.043,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00030.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00030.jpg"
4.125,0.6875,31,0.045,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00031.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00031.jpg"
4.257,0.7095,32,0.046,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00032.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00032.jpg"
4.39,0.7317,33,0.048,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00033.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00033.jpg"
4.522,0.7537,34,0.049,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00034.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00034.jpg"
4.651,0.7752,35,0.052,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00035.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00035.jpg"
4.785,0.7975,36,0.055,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/frame_00036.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, 0)/frames/extracted/frame_00036.jpg"
