image_path,loc_x,loc_y,displacement_mm,force_n,session
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00000.png,138,0,0.0,0.0,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00001.png,138,0,0.0435,0.0,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00002.png,138,0,0.0657,0.0,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00003.png,138,0,0.0875,0.0,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00004.png,138,0,0.1097,0.001,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00005.png,138,0,0.1315,0.0,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00006.png,138,0,0.1537,0.0,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00007.png,138,0,0.1757,0.001,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00008.png,138,0,0.1978,0.001,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00009.png,138,0,0.2198,0.001,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00010.png,138,0,0.2417,0.001,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00011.png,138,0,0.2635,0.002,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00012.png,138,0,0.2857,0.001,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00013.png,138,0,0.3075,0.002,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00014.png,138,0,0.3297,0.002,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00015.png,138,0,0.3515,0.002,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00016.png,138,0,0.3737,0.003,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/frame_00017.png,138,0,0.3955,0.003,x138_y0
