image_path,loc_x,loc_y,displacement_mm,force_n,session
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00225_d0.3.png,138.0,0.0,0.3,0.001541,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00225_d0.6.png,138.0,0.0,0.6,0.004358,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00225_d1.0.png,138.0,0.0,1.0,0.009378,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00225_d1.5.png,138.0,0.0,1.5,0.017228,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00225_d2.0.png,138.0,0.0,2.0,0.026525,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00225_d3.0.png,138.0,0.0,3.0,0.048729,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00281_d0.3.png,138.0,0.0,0.3,0.001675,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00281_d0.6.png,138.0,0.0,0.6,0.004738,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00281_d1.0.png,138.0,0.0,1.0,0.010195,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00281_d1.5.png,138.0,0.0,1.5,0.018729,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00281_d2.0.png,138.0,0.0,2.0,0.028835,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00281_d3.0.png,138.0,0.0,3.0,0.052974,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00338_d0.3.png,138.0,0.0,0.3,0.001749,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00338_d0.6.png,138.0,0.0,0.6,0.004948,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00338_d1.0.png,138.0,0.0,1.0,0.010646,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00338_d1.5.png,138.0,0.0,1.5,0.019559,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00338_d2.0.png,138.0,0.0,2.0,0.030112,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00338_d3.0.png,138.0,0.0,3.0,0.05532,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00394_d0.3.png,138.0,0.0,0.3,0.001849,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00394_d0.6.png,138.0,0.0,0.6,0.00523,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00394_d1.0.png,138.0,0.0,1.0,0.011252,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00394_d1.5.png,138.0,0.0,1.5,0.020672,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00394_d2.0.png,138.0,0.0,2.0,0.031826,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00394_d3.0.png,138.0,0.0,3.0,0.058468,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00451_d0.3.png,138.0,0.0,0.3,0.001785,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00451_d0.6.png,138.0,0.0,0.6,0.005048,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00451_d1.0.png,138.0,0.0,1.0,0.010862,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00451_d1.5.png,138.0,0.0,1.5,0.019955,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00451_d2.0.png,138.0,0.0,2.0,0.030723,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y0/synth_frame_00451_d3.0.png,138.0,0.0,3.0,0.056442,x138_y0
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00226_d0.3.png,138.0,12.0,0.3,0.001101,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00226_d0.6.png,138.0,12.0,0.6,0.003113,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00226_d1.0.png,138.0,12.0,1.0,0.006698,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00226_d1.5.png,138.0,12.0,1.5,0.012305,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00226_d2.0.png,138.0,12.0,2.0,0.018945,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00226_d3.0.png,138.0,12.0,3.0,0.034805,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00282_d0.3.png,138.0,12.0,0.3,0.001157,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00282_d0.6.png,138.0,12.0,0.6,0.003274,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00282_d1.0.png,138.0,12.0,1.0,0.007044,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00282_d1.5.png,138.0,12.0,1.5,0.01294,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00282_d2.0.png,138.0,12.0,2.0,0.019923,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00282_d3.0.png,138.0,12.0,3.0,0.036601,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00339_d0.3.png,138.0,12.0,0.3,0.001206,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00339_d0.6.png,138.0,12.0,0.6,0.003412,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00339_d1.0.png,138.0,12.0,1.0,0.007341,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00339_d1.5.png,138.0,12.0,1.5,0.013486,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00339_d2.0.png,138.0,12.0,2.0,0.020764,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00339_d3.0.png,138.0,12.0,3.0,0.038145,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00395_d0.3.png,138.0,12.0,0.3,0.00127,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00395_d0.6.png,138.0,12.0,0.6,0.003591,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00395_d1.0.png,138.0,12.0,1.0,0.007727,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00395_d1.5.png,138.0,12.0,1.5,0.014195,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00395_d2.0.png,138.0,12.0,2.0,0.021855,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00395_d3.0.png,138.0,12.0,3.0,0.04015,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00452_d0.3.png,138.0,12.0,0.3,0.001313,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00452_d0.6.png,138.0,12.0,0.6,0.003713,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00452_d1.0.png,138.0,12.0,1.0,0.007989,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00452_d1.5.png,138.0,12.0,1.5,0.014676,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00452_d2.0.png,138.0,12.0,2.0,0.022596,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y12/synth_frame_00452_d3.0.png,138.0,12.0,3.0,0.041511,x138_y12
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00226_d0.3.png,138.0,10.0,0.3,0.000983,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00226_d0.6.png,138.0,10.0,0.6,0.002781,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00226_d1.0.png,138.0,10.0,1.0,0.005984,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00226_d1.5.png,138.0,10.0,1.5,0.010993,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00226_d2.0.png,138.0,10.0,2.0,0.016924,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00226_d3.0.png,138.0,10.0,3.0,0.031092,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00282_d0.3.png,138.0,10.0,0.3,0.001032,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00282_d0.6.png,138.0,10.0,0.6,0.00292,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00282_d1.0.png,138.0,10.0,1.0,0.006283,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00282_d1.5.png,138.0,10.0,1.5,0.011543,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00282_d2.0.png,138.0,10.0,2.0,0.017772,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00282_d3.0.png,138.0,10.0,3.0,0.032649,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00339_d0.3.png,138.0,10.0,0.3,0.001078,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00339_d0.6.png,138.0,10.0,0.6,0.00305,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00339_d1.0.png,138.0,10.0,1.0,0.006563,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00339_d1.5.png,138.0,10.0,1.5,0.012057,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00339_d2.0.png,138.0,10.0,2.0,0.018564,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00339_d3.0.png,138.0,10.0,3.0,0.034103,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00395_d0.3.png,138.0,10.0,0.3,0.001137,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00395_d0.6.png,138.0,10.0,0.6,0.003217,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00395_d1.0.png,138.0,10.0,1.0,0.006922,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00395_d1.5.png,138.0,10.0,1.5,0.012716,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00395_d2.0.png,138.0,10.0,2.0,0.019578,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00395_d3.0.png,138.0,10.0,3.0,0.035967,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00452_d0.3.png,138.0,10.0,0.3,0.001189,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00452_d0.6.png,138.0,10.0,0.6,0.003363,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00452_d1.0.png,138.0,10.0,1.0,0.007237,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00452_d1.5.png,138.0,10.0,1.5,0.013294,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00452_d2.0.png,138.0,10.0,2.0,0.020468,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y10/synth_frame_00452_d3.0.png,138.0,10.0,3.0,0.037602,x138_y10
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00226_d0.3.png,138.0,16.0,0.3,0.001541,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00226_d0.6.png,138.0,16.0,0.6,0.004358,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00226_d1.0.png,138.0,16.0,1.0,0.009377,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00226_d1.5.png,138.0,16.0,1.5,0.017227,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00226_d2.0.png,138.0,16.0,2.0,0.026523,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00226_d3.0.png,138.0,16.0,3.0,0.048726,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00282_d0.3.png,138.0,16.0,0.3,0.001675,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00282_d0.6.png,138.0,16.0,0.6,0.004738,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00282_d1.0.png,138.0,16.0,1.0,0.010194,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00282_d1.5.png,138.0,16.0,1.5,0.018728,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00282_d2.0.png,138.0,16.0,2.0,0.028834,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00282_d3.0.png,138.0,16.0,3.0,0.052971,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00339_d0.3.png,138.0,16.0,0.3,0.001821,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00339_d0.6.png,138.0,16.0,0.6,0.005151,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00339_d1.0.png,138.0,16.0,1.0,0.011083,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00339_d1.5.png,138.0,16.0,1.5,0.020362,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00339_d2.0.png,138.0,16.0,2.0,0.031349,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00339_d3.0.png,138.0,16.0,3.0,0.057591,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00395_d0.3.png,138.0,16.0,0.3,0.001912,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00395_d0.6.png,138.0,16.0,0.6,0.005409,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00395_d1.0.png,138.0,16.0,1.0,0.011639,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00395_d1.5.png,138.0,16.0,1.5,0.021382,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00395_d2.0.png,138.0,16.0,2.0,0.03292,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00395_d3.0.png,138.0,16.0,3.0,0.060477,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00452_d0.3.png,138.0,16.0,0.3,0.002008,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00452_d0.6.png,138.0,16.0,0.6,0.005679,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00452_d1.0.png,138.0,16.0,1.0,0.01222,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00452_d1.5.png,138.0,16.0,1.5,0.02245,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00452_d2.0.png,138.0,16.0,2.0,0.034564,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y16/synth_frame_00452_d3.0.png,138.0,16.0,3.0,0.063497,x138_y16
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00226_d0.3.png,138.0,2.0,0.3,0.001174,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00226_d0.6.png,138.0,2.0,0.6,0.003321,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00226_d1.0.png,138.0,2.0,1.0,0.007145,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00226_d1.5.png,138.0,2.0,1.5,0.013126,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00226_d2.0.png,138.0,2.0,2.0,0.020208,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00226_d3.0.png,138.0,2.0,3.0,0.037125,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00282_d0.3.png,138.0,2.0,0.3,0.001242,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00282_d0.6.png,138.0,2.0,0.6,0.003512,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00282_d1.0.png,138.0,2.0,1.0,0.007556,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00282_d1.5.png,138.0,2.0,1.5,0.013882,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00282_d2.0.png,138.0,2.0,2.0,0.021372,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00282_d3.0.png,138.0,2.0,3.0,0.039263,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00339_d0.3.png,138.0,2.0,0.3,0.00131,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00339_d0.6.png,138.0,2.0,0.6,0.003705,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00339_d1.0.png,138.0,2.0,1.0,0.007973,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00339_d1.5.png,138.0,2.0,1.5,0.014647,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00339_d2.0.png,138.0,2.0,2.0,0.022551,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00339_d3.0.png,138.0,2.0,3.0,0.041429,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00395_d0.3.png,138.0,2.0,0.3,0.001384,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00395_d0.6.png,138.0,2.0,0.6,0.003914,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00395_d1.0.png,138.0,2.0,1.0,0.008422,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00395_d1.5.png,138.0,2.0,1.5,0.015472,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00395_d2.0.png,138.0,2.0,2.0,0.023821,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00395_d3.0.png,138.0,2.0,3.0,0.043761,x138_y2
/Users/ishanahluwalia/TactileSensing/dense_contact/images/x138_y2/synth_frame_00452_d0.3.png,138.0,2.0,0.3,0.001432,x138_y2
